# Quat (xyzw) is -0.453478085485 0.747554224394 0.326582285891 0.358976765428
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1227767957 2018-12-02 06:38:59  17.25  165.9  144.9  121.7   98.1  152.8  138.7  119.0   97.6  52.1  92.8  10911 1454.778
1227771557 2018-12-02 07:38:59  17.29  165.8  145.0  121.9   98.3  153.3  139.1  119.2   97.8  52.4  93.2  10913 1454.820
1227775157 2018-12-02 08:38:59  17.33  165.7  145.2  122.1   98.6  153.9  139.5  119.5   97.9  52.6  93.5  10915 1454.861
1227778757 2018-12-02 09:38:59  17.37  165.6  145.3  122.3   98.8  154.4  139.9  119.7   98.1  52.9  93.8  10917 1454.903
1227782357 2018-12-02 10:38:59  17.42  165.4  145.5  122.5   99.1  155.0  140.3  119.9   98.2  53.1  94.1  10919 1454.945
1227785957 2018-12-02 11:38:59  17.46  165.3  145.6  122.7   99.3  155.5  140.6  120.2   98.4  53.3  94.4  10921 1454.986
1227789557 2018-12-02 12:38:59  17.50  165.2  145.7  122.9   99.5  156.1  141.0  120.4   98.5  53.5  94.7  10923 1455.028
1227793157 2018-12-02 13:38:59  17.54  165.0  145.8  123.1   99.8  156.6  141.4  120.6   98.6  53.8  95.0  10925 1455.070
1227796757 2018-12-02 14:38:59  17.58  164.8  145.9  123.3  100.0  157.1  141.7  120.9   98.8  54.0  95.3  10927 1455.111
1227800357 2018-12-02 15:38:59  17.62  164.7  146.0  123.4  100.2  157.6  142.1  121.1   98.9  54.2  95.6  10929 1455.153
1227803957 2018-12-02 16:38:59  17.67  164.5  146.1  123.6  100.4  158.2  142.4  121.3   99.0  54.4  95.9  10931 1455.195
1227807557 2018-12-02 17:38:59  17.71  164.3  146.2  123.8  100.7  158.7  142.7  121.5   99.1  54.6  96.2  10933 1455.236
1227811157 2018-12-02 18:38:59  17.75  164.1  146.3  124.0  100.9  159.2  143.1  121.7   99.3  54.8  96.5  10935 1455.278
1227814757 2018-12-02 19:38:59  17.79  163.9  146.4  124.2  101.1  159.7  143.4  121.9   99.4  55.0  96.8  10937 1455.320
1227818357 2018-12-02 20:38:59  17.83  163.7  146.5  124.3  101.3  160.2  143.7  122.1   99.5  55.2  97.1  10939 1455.361
1227821957 2018-12-02 21:38:59  17.87  163.4  146.6  124.5  101.5  160.7  144.0  122.3   99.6  55.4  97.4  10941 1455.403
1227825557 2018-12-02 22:38:59  17.92  163.2  146.6  124.7  101.8  161.2  144.3  122.5   99.8  55.6  97.7  10943 1455.445
1227829157 2018-12-02 23:38:59  17.96  163.0  146.7  124.8  102.0  161.7  144.6  122.7   99.9  55.8  98.0  10945 1455.486
1227832757 2018-12-03 00:38:59  18.00  162.8  146.8  125.0  102.2  162.2  144.9  122.9  100.0  56.0  98.3  10947 1455.528
1227836357 2018-12-03 01:38:59  18.04  162.5  146.8  125.1  102.4  162.6  145.2  123.0  100.1  56.1  98.6  10949 1455.570
1227839957 2018-12-03 02:38:59  18.08  162.3  146.9  125.3  102.6  163.1  145.5  123.2  100.2  56.3  98.8  10951 1455.611
1227843557 2018-12-03 03:38:59  18.12  162.1  146.9  125.4  102.8  163.6  145.7  123.4  100.3  56.5  99.1  10953 1455.653
1227847157 2018-12-03 04:38:59  18.17  161.8  147.0  125.6  103.0  164.1  146.0  123.6  100.4  56.6  99.4  10955 1455.695
1227850757 2018-12-03 05:38:59  18.21  161.6  147.0  125.7  103.2  164.5  146.2  123.7  100.6  56.8  99.7  10957 1455.736
1227854357 2018-12-03 06:38:59  18.25  161.3  147.1  125.9  103.4  165.0  146.5  123.9  100.7  57.0  99.9  10959 1455.778
1227857957 2018-12-03 07:38:59  18.29  161.1  147.1  126.0  103.6  165.4  146.7  124.1  100.8  57.1 100.2  10961 1455.820
1227861557 2018-12-03 08:38:59  18.33  160.8  147.1  126.2  103.8  165.9  147.0  124.2  100.9  57.3 100.5  10963 1455.861
1227865157 2018-12-03 09:38:59  18.37  160.5  147.1  126.3  104.0  166.4  147.2  124.4  101.0  57.4 100.7  10965 1455.903
1227868757 2018-12-03 10:38:59  18.42  160.3  147.2  126.4  104.2  166.8  147.5  124.5  101.1  57.6 101.0  10967 1455.945
1227872357 2018-12-03 11:38:59  18.46  160.0  147.2  126.6  104.4  167.2  147.7  124.7  101.2  57.7 101.2  10969 1455.986
1227875957 2018-12-03 12:38:59  18.50  159.8  147.2  126.7  104.5  167.7  147.9  124.8  101.3  57.8 101.5  10971 1456.028
1227879557 2018-12-03 13:38:59  18.54  159.5  147.2  126.8  104.7  168.1  148.1  124.9  101.4  58.0 101.7  10973 1456.070
1227883157 2018-12-03 14:38:59  18.58  159.2  147.2  126.9  104.9  168.5  148.3  125.1  101.5  58.1 102.0  10975 1456.111
1227886757 2018-12-03 15:38:59  18.62  159.0  147.2  127.1  105.1  169.0  148.5  125.2  101.6  58.2 102.2  10977 1456.153
1227890357 2018-12-03 16:38:59  18.67  158.7  147.2  127.2  105.3  169.4  148.7  125.3  101.7  58.4 102.4  10979 1456.195
1227893957 2018-12-03 17:38:59  18.71  158.4  147.2  127.3  105.5  169.8  148.9  125.5  101.8  58.5 102.7  10981 1456.236
1227897557 2018-12-03 18:38:59  18.75  158.1  147.2  127.4  105.7  170.2  149.1  125.6  101.9  58.6 102.9  10983 1456.278
1227901157 2018-12-03 19:38:59  18.79  157.9  147.2  127.5  105.8  170.6  149.3  125.7  102.0  58.7 103.1  10985 1456.320
1227904757 2018-12-03 20:38:59  18.83  157.6  147.2  127.7  106.0  171.0  149.4  125.8  102.1  58.8 103.4  10987 1456.361
1227908357 2018-12-03 21:38:59  18.87  157.3  147.2  127.8  106.2  171.4  149.6  126.0  102.1  58.9 103.6  10989 1456.403
1227911957 2018-12-03 22:38:59  18.92  157.0  147.1  127.9  106.4  171.7  149.8  126.1  102.2  59.0 103.8  10991 1456.445
1227915557 2018-12-03 23:38:59  18.96  156.8  147.1  128.0  106.5  172.1  149.9  126.2  102.3  59.1 104.0  10993 1456.486
1227919157 2018-12-04 00:38:59  19.00  156.5  147.1  128.1  106.7  172.5  150.1  126.3  102.4  59.2 104.2  10995 1456.528
1227922757 2018-12-04 01:38:59  19.04  156.2  147.1  128.2  106.9  172.8  150.2  126.4  102.5  59.3 104.4  10997 1456.570
1227926357 2018-12-04 02:38:59  19.08  155.9  147.0  128.3  107.1  173.1  150.3  126.5  102.6  59.4 104.6  10999 1456.611
1227929957 2018-12-04 03:38:59  19.12  155.6  147.0  128.4  107.2  173.5  150.5  126.6  102.7  59.5 104.8  11001 1456.653
1227933557 2018-12-04 04:38:59  19.17  155.4  147.0  128.5  107.4  173.8  150.6  126.7  102.7  59.6 105.0  11003 1456.695
1227937157 2018-12-04 05:38:59  19.21  155.1  146.9  128.6  107.6  174.1  150.7  126.8  102.8  59.7 105.2  11005 1456.736
1227940757 2018-12-04 06:38:59  19.25  154.8  146.9  128.7  107.8  174.3  150.8  126.9  102.9  59.7 105.4  11007 1456.778
1227944357 2018-12-04 07:38:59  19.29  154.5  146.8  128.8  107.9  174.6  150.9  127.0  103.0  59.8 105.6  11009 1456.820
1227947957 2018-12-04 08:38:59  19.33  154.2  146.8  128.9  108.1  174.8  151.0  127.0  103.1  59.9 105.8  11011 1456.861
1227951557 2018-12-04 09:38:59  19.37  153.9  146.7  129.0  108.3  175.0  151.1  127.1  103.1  59.9 106.0  11013 1456.903
1227955157 2018-12-04 10:38:59  19.42  153.7  146.7  129.1  108.4  175.1  151.2  127.2  103.2  60.0 106.1  11015 1456.945
1227958757 2018-12-04 11:38:59  19.46  153.4  146.6  129.2  108.6  175.3  151.3  127.3  103.3  60.1 106.3  11017 1456.986
1227962357 2018-12-04 12:38:59  19.50  153.1  146.5  129.2  108.7  175.4  151.4  127.4  103.4  60.1 106.5  11019 1457.028
1227965957 2018-12-04 13:38:59  19.54  152.8  146.5  129.3  108.9  175.4  151.4  127.4  103.4  60.2 106.6  11021 1457.070
1227969557 2018-12-04 14:38:59  19.58  152.5  146.4  129.4  109.1  175.4  151.5  127.5  103.5  60.2 106.8  11023 1457.111
1227973157 2018-12-04 15:38:59  19.62  152.2  146.3  129.5  109.2  175.4  151.6  127.6  103.6  60.3 106.9  11025 1457.153
1227976757 2018-12-04 16:38:59  19.67  151.9  146.3  129.6  109.4  175.4  151.6  127.6  103.7  60.3 107.1  11027 1457.195
1227980357 2018-12-04 17:38:59  19.71  151.6  146.2  129.6  109.6  175.3  151.7  127.7  103.7  60.4 107.3  11029 1457.236
1227983957 2018-12-04 18:38:59  19.75  151.4  146.1  129.7  109.7  175.1  151.7  127.8  103.8  60.4 107.4  11031 1457.278
1227987557 2018-12-04 19:38:59  19.79  151.1  146.0  129.8  109.9  175.0  151.7  127.8  103.9  60.4 107.5  11033 1457.320
1227991157 2018-12-04 20:38:59  19.83  150.8  145.9  129.9  110.0  174.8  151.8  127.9  103.9  60.5 107.7  11035 1457.361
1227994757 2018-12-04 21:38:59  19.87  150.5  145.9  129.9  110.2  174.6  151.8  127.9  104.0  60.5 107.8  11037 1457.403
1227998357 2018-12-04 22:38:59  19.92  150.2  145.8  130.0  110.3  174.3  151.8  128.0  104.1  60.5 107.9  11039 1457.445
1228001957 2018-12-04 23:38:59  19.96  149.9  145.7  130.1  110.5  174.1  151.8  128.0  104.1  60.5 108.1  11041 1457.486
1228005557 2018-12-05 00:38:59  20.00  149.6  145.6  130.1  110.7  173.8  151.8  128.1  104.2  60.6 108.2  11043 1457.528
1228009157 2018-12-05 01:38:59  20.04  149.3  145.5  130.2  110.8  173.5  151.8  128.1  104.2  60.6 108.3  11045 1457.570
1228012757 2018-12-05 02:38:59  20.08  149.0  145.4  130.3  111.0  173.2  151.8  128.2  104.3  60.6 108.4  11047 1457.611
1228016357 2018-12-05 03:38:59  20.12  148.7  145.3  130.3  111.1  172.9  151.8  128.2  104.4  60.6 108.5  11049 1457.653
1228019957 2018-12-05 04:38:59  20.17  148.4  145.2  130.4  111.3  172.6  151.8  128.2  104.4  60.6 108.6  11051 1457.695
1228023557 2018-12-05 05:38:59  20.21  148.1  145.1  130.4  111.4  172.3  151.8  128.3  104.5  60.6 108.7  11053 1457.736
1228027157 2018-12-05 06:38:59  20.25  147.8  145.0  130.5  111.6  171.9  151.8  128.3  104.5  60.6 108.8  11055 1457.778
1228030757 2018-12-05 07:38:59  20.29  147.6  144.8  130.5  111.7  171.6  151.7  128.3  104.6  60.6 108.9  11057 1457.820
1228034357 2018-12-05 08:38:59  20.33  147.3  144.7  130.6  111.9  171.3  151.7  128.3  104.7  60.6 109.0  11059 1457.861
1228037957 2018-12-05 09:38:59  20.37  147.0  144.6  130.6  112.0  170.9  151.7  128.4  104.7  60.6 109.1  11061 1457.903
1228041557 2018-12-05 10:38:59  20.42  146.7  144.5  130.7  112.2  170.6  151.6  128.4  104.8  60.5 109.2  11063 1457.945
1228045157 2018-12-05 11:38:59  20.46  146.4  144.4  130.7  112.3  170.2  151.6  128.4  104.8  60.5 109.2  11065 1457.986
1228048757 2018-12-05 12:38:59  20.50  146.1  144.3  130.8  112.5  169.9  151.5  128.4  104.9  60.5 109.3  11067 1458.028
1228052357 2018-12-05 13:38:59  20.54  145.8  144.1  130.8  112.6  169.5  151.5  128.4  104.9  60.5 109.4  11069 1458.070
1228055957 2018-12-05 14:38:59  20.58  145.5  144.0  130.9  112.7  169.1  151.4  128.5  105.0  60.4 109.4  11071 1458.111
1228059557 2018-12-05 15:38:59  20.62  145.2  143.9  130.9  112.9  168.8  151.3  128.5  105.0  60.4 109.5  11073 1458.153
1228063157 2018-12-05 16:38:59  20.67  144.9  143.7  131.0  113.0  168.4  151.2  128.5  105.1  60.4 109.6  11075 1458.195
1228066757 2018-12-05 17:38:59  20.71  144.6  143.6  131.0  113.2  168.0  151.2  128.5  105.1  60.3 109.6  11077 1458.236
1228070357 2018-12-05 18:38:59  20.75  144.3  143.5  131.0  113.3  167.7  151.1  128.5  105.2  60.3 109.7  11079 1458.278
1228073957 2018-12-05 19:38:59  20.79  143.9  143.3  131.1  113.5  167.3  151.0  128.5  105.2  60.2 109.7  11081 1458.320
1228077557 2018-12-05 20:38:59  20.83  143.6  143.2  131.1  113.6  166.9  150.9  128.5  105.3  60.2 109.7  11083 1458.361
1228081157 2018-12-05 21:38:59  20.87  143.3  143.0  131.1  113.8  166.6  150.8  128.5  105.3  60.1 109.8  11085 1458.403
1228084757 2018-12-05 22:38:59  20.92  143.0  142.9  131.2  113.9  166.2  150.7  128.5  105.4  60.1 109.8  11087 1458.445
1228088357 2018-12-05 23:38:59  20.96  142.7  142.7  131.2  114.0  165.8  150.6  128.5  105.4  60.0 109.8  11089 1458.486
1228091957 2018-12-06 00:38:59  21.00  142.4  142.6  131.2  114.2  165.4  150.5  128.5  105.4  60.0 109.8  11091 1458.528
1228095557 2018-12-06 01:38:59  21.04  142.1  142.4  131.2  114.3  165.0  150.4  128.4  105.5  59.9 109.9  11093 1458.570
1228099157 2018-12-06 02:38:59  21.08  141.8  142.3  131.3  114.5  164.7  150.2  128.4  105.5  59.8 109.9  11095 1458.611
1228102757 2018-12-06 03:38:59  21.12  141.5  142.1  131.3  114.6  164.3  150.1  128.4  105.6  59.8 109.9  11097 1458.653
1228106357 2018-12-06 04:38:59  21.17  141.2  142.0  131.3  114.7  163.9  150.0  128.4  105.6  59.7 109.9  11099 1458.695
1228109957 2018-12-06 05:38:59  21.21  140.9  141.8  131.3  114.9  163.5  149.8  128.4  105.6  59.6 109.9  11101 1458.736
1228113557 2018-12-06 06:38:59  21.25  140.5  141.6  131.3  115.0  163.1  149.7  128.3  105.7  59.5 109.9  11103 1458.778
1228117157 2018-12-06 07:38:59  21.29  140.2  141.5  131.4  115.2  162.8  149.6  128.3  105.7  59.4 109.9  11105 1458.820
1228120757 2018-12-06 08:38:59  21.33  139.9  141.3  131.4  115.3  162.4  149.4  128.3  105.8  59.3 109.8  11107 1458.861
1228124357 2018-12-06 09:38:59  21.37  139.6  141.1  131.4  115.4  162.0  149.3  128.3  105.8  59.2 109.8  11109 1458.903
1228127957 2018-12-06 10:38:59  21.42  139.3  141.0  131.4  115.6  161.6  149.1  128.2  105.8  59.2 109.8  11111 1458.945
1228131557 2018-12-06 11:38:59  21.46  138.9  140.8  131.4  115.7  161.2  148.9  128.2  105.9  59.1 109.8  11113 1458.986
1228135157 2018-12-06 12:38:59  21.50  138.6  140.6  131.4  115.8  160.8  148.8  128.2  105.9  58.9 109.7  11115 1459.028
1228138757 2018-12-06 13:38:59  21.54  138.3  140.4  131.4  116.0  160.5  148.6  128.1  105.9  58.8 109.7  11117 1459.070
1228142357 2018-12-06 14:38:59  21.58  138.0  140.2  131.4  116.1  160.1  148.4  128.1  106.0  58.7 109.6  11119 1459.111
1228145957 2018-12-06 15:38:59  21.62  137.6  140.0  131.4  116.2  159.7  148.3  128.0  106.0  58.6 109.6  11121 1459.153
1228149557 2018-12-06 16:38:59  21.67  137.3  139.9  131.4  116.4  159.3  148.1  128.0  106.0  58.5 109.5  11123 1459.195
1228153157 2018-12-06 17:38:59  21.71  137.0  139.7  131.4  116.5  158.9  147.9  127.9  106.0  58.4 109.5  11125 1459.236
1228156757 2018-12-06 18:38:59  21.75  136.7  139.5  131.4  116.6  158.5  147.7  127.9  106.1  58.3 109.4  11127 1459.278
1228160357 2018-12-06 19:38:59  21.79  136.3  139.3  131.4  116.8  158.1  147.5  127.8  106.1  58.1 109.4  11129 1459.320
1228163957 2018-12-06 20:38:59  21.83  136.0  139.1  131.4  116.9  157.7  147.3  127.8  106.1  58.0 109.3  11131 1459.361
1228167557 2018-12-06 21:38:59  21.87  135.6  138.9  131.4  117.0  157.3  147.1  127.7  106.1  57.9 109.2  11133 1459.403
1228171157 2018-12-06 22:38:59  21.92  135.3  138.7  131.4  117.2  157.0  146.9  127.7  106.2  57.7 109.1  11135 1459.445
1228174757 2018-12-06 23:38:59  21.96  135.0  138.4  131.3  117.3  156.6  146.7  127.6  106.2  57.6 109.0  11137 1459.486
1228178357 2018-12-07 00:38:59  22.00  134.6  138.2  131.3  117.4  156.2  146.5  127.5  106.2  57.4 108.9  11139 1459.528
1228181957 2018-12-07 01:38:59  22.04  134.3  138.0  131.3  117.6  155.8  146.3  127.5  106.2  57.3 108.8  11141 1459.570
1228185557 2018-12-07 02:38:59  22.08  133.9  137.8  131.3  117.7  155.4  146.1  127.4  106.3  57.1 108.7  11143 1459.611
1228189157 2018-12-07 03:38:59  22.12  133.6  137.6  131.3  117.8  155.0  145.9  127.3  106.3  57.0 108.6  11145 1459.653
1228192757 2018-12-07 04:38:59  22.17  133.2  137.4  131.2  118.0  154.6  145.7  127.3  106.3  56.8 108.5  11147 1459.695
1228196357 2018-12-07 05:38:59  22.21  132.9  137.1  131.2  118.1  154.2  145.4  127.2  106.3  56.6 108.4  11149 1459.736
1228199957 2018-12-07 06:38:59  22.25  132.5  136.9  131.2  118.2  153.8  145.2  127.1  106.3  56.5 108.3  11151 1459.778
1228203557 2018-12-07 07:38:59  22.29  132.2  136.7  131.1  118.3  153.4  145.0  127.0  106.3  56.3 108.2  11153 1459.820
1228207157 2018-12-07 08:38:59  22.33  131.8  136.4  131.1  118.5  153.0  144.8  127.0  106.4  56.1 108.0  11155 1459.861
1228210757 2018-12-07 09:38:59  22.37  131.4  136.2  131.1  118.6  152.6  144.5  126.9  106.4  55.9 107.9  11157 1459.903
1228214357 2018-12-07 10:38:59  22.42  131.1  136.0  131.0  118.7  152.2  144.3  126.8  106.4  55.8 107.8  11159 1459.945
1228217957 2018-12-07 11:38:59  22.46  130.7  135.7  131.0  118.8  151.8  144.0  126.7  106.4  55.6 107.6  11161 1459.986
1228221557 2018-12-07 12:38:59  22.50  130.3  135.5  130.9  119.0  151.4  143.8  126.6  106.4  55.4 107.5  11163 1460.028
1228225157 2018-12-07 13:38:59  22.54  130.0  135.2  130.9  119.1  151.0  143.5  126.5  106.4  55.2 107.3  11165 1460.070
1228228757 2018-12-07 14:38:59  22.58  129.6  135.0  130.8  119.2  150.6  143.3  126.4  106.4  55.0 107.1  11167 1460.111
1228232357 2018-12-07 15:38:59  22.62  129.2  134.7  130.8  119.3  150.2  143.0  126.3  106.4  54.8 107.0  11169 1460.153
1228235957 2018-12-07 16:38:59  22.67  128.8  134.5  130.7  119.5  149.8  142.8  126.2  106.4  54.6 106.8  11171 1460.195
1228239557 2018-12-07 17:38:59  22.71  128.5  134.2  130.7  119.6  149.4  142.5  126.1  106.4  54.4 106.6  11173 1460.236
1228243157 2018-12-07 18:38:59  22.75  128.1  133.9  130.6  119.7  149.0  142.2  126.0  106.5  54.2 106.4  11175 1460.278
1228246757 2018-12-07 19:38:59  22.79  127.7  133.7  130.5  119.8  148.5  142.0  125.9  106.5  53.9 106.2  11177 1460.320
1228250357 2018-12-07 20:38:59  22.83  127.3  133.4  130.5  120.0  148.1  141.7  125.8  106.5  53.7 106.1  11179 1460.361
1228253957 2018-12-07 21:38:59  22.87  126.9  133.1  130.4  120.1  147.7  141.4  125.7  106.5  53.5 105.9  11181 1460.403
1228257557 2018-12-07 22:38:59  22.92  126.5  132.8  130.3  120.2  147.3  141.1  125.5  106.5  53.3 105.7  11183 1460.445
1228261157 2018-12-07 23:38:59  22.96  126.1  132.5  130.3  120.3  146.9  140.9  125.4  106.5  53.0 105.4  11185 1460.486
1228264757 2018-12-08 00:38:59  23.00  125.7  132.2  130.2  120.4  146.5  140.6  125.3  106.5  52.8 105.2  11187 1460.528
1228268357 2018-12-08 01:38:59  23.04  125.3  131.9  130.1  120.6  146.1  140.3  125.2  106.4  52.5 105.0  11189 1460.570
1228271957 2018-12-08 02:38:59  23.08  124.8  131.6  130.0  120.7  145.6  140.0  125.0  106.4  52.3 104.8  11191 1460.611
1228275557 2018-12-08 03:38:59  23.12  124.4  131.3  129.9  120.8  145.2  139.7  124.9  106.4  52.1 104.6  11193 1460.653
1228279157 2018-12-08 04:38:59  23.17  124.0  131.0  129.8  120.9  144.8  139.4  124.8  106.4  51.8 104.3  11195 1460.695
1228282757 2018-12-08 05:38:59  23.21  123.6  130.7  129.7  121.0  144.4  139.1  124.6  106.4  51.5 104.1  11197 1460.736
1228286357 2018-12-08 06:38:59  23.25  123.1  130.4  129.6  121.1  144.0  138.8  124.5  106.4  51.3 103.8  11199 1460.778
1228289957 2018-12-08 07:38:59  23.29  122.7  130.1  129.5  121.2  143.5  138.5  124.4  106.4  51.0 103.6  11201 1460.820
1228293557 2018-12-08 08:38:59  23.33  122.3  129.8  129.4  121.4  143.1  138.2  124.2  106.4  50.7 103.3  11203 1460.861
1228297157 2018-12-08 09:38:59  23.37  121.8  129.4  129.3  121.5  142.7  137.9  124.1  106.4  50.5 103.0  11205 1460.903
1228300757 2018-12-08 10:38:59  23.42  121.3  129.1  129.2  121.6  142.2  137.6  123.9  106.3  50.2 102.8  11207 1460.945
1228304357 2018-12-08 11:38:59  23.46  120.9  128.7  129.0  121.7  141.8  137.2  123.8  106.3  49.9 102.5  11209 1460.986
1228307957 2018-12-08 12:38:59  23.50  120.4  128.4  128.9  121.8  141.4  136.9  123.6  106.3  49.6 102.2  11211 1461.028
1228311557 2018-12-08 13:38:59  23.54  120.0  128.0  128.8  121.9  140.9  136.6  123.4  106.3  49.3 101.9  11213 1461.070
1228315157 2018-12-08 14:38:59  23.58  119.5  127.7  128.7  122.0  140.5  136.3  123.3  106.2  49.0 101.6  11215 1461.111
1228318757 2018-12-08 15:38:59  23.62  119.0  127.3  128.5  122.1  140.1  135.9  123.1  106.2  48.7 101.3  11217 1461.153
1228322357 2018-12-08 16:38:59  23.67  118.5  126.9  128.4  122.2  139.6  135.6  122.9  106.2  48.4 101.0  11219 1461.195
1228325957 2018-12-08 17:38:59  23.71  118.0  126.6  128.2  122.3  139.2  135.3  122.8  106.2  48.1 100.7  11221 1461.236
1228329557 2018-12-08 18:38:59  23.75  117.5  126.2  128.1  122.4  138.7  134.9  122.6  106.1  47.8 100.4  11223 1461.278
1228333157 2018-12-08 19:38:59  23.79  117.0  125.8  127.9  122.5  138.3  134.6  122.4  106.1  47.5 100.1  11225 1461.320
1228336757 2018-12-08 20:38:59  23.83  116.5  125.4  127.7  122.6  137.8  134.2  122.2  106.1  47.1  99.7  11227 1461.361
1228340357 2018-12-08 21:38:59  23.87  116.0  125.0  127.6  122.7  137.4  133.9  122.0  106.0  46.8  99.4  11229 1461.403
1228343957 2018-12-08 22:38:59  23.92  115.5  124.6  127.4  122.8  136.9  133.5  121.8  106.0  46.5  99.1  11231 1461.445
1228347557 2018-12-08 23:38:59  23.96  114.9  124.1  127.2  122.9  136.5  133.1  121.6  105.9  46.1  98.7  11233 1461.486
1228351157 2018-12-09 00:38:59  24.00  114.4  123.7  127.0  123.0  136.0  132.8  121.4  105.9  45.8  98.3  11235 1461.528
1228354757 2018-12-09 01:38:59  24.04  113.8  123.3  126.8  123.1  135.6  132.4  121.2  105.8  45.4  98.0  11237 1461.570
1228358357 2018-12-09 02:38:59  24.08  113.3  122.8  126.6  123.1  135.1  132.0  121.0  105.8  45.1  97.6  11239 1461.611
1228361957 2018-12-09 03:38:59  24.12  112.7  122.4  126.4  123.2  134.6  131.7  120.8  105.7  44.7  97.2  11241 1461.653
1228365557 2018-12-09 04:38:59  24.17  112.1  121.9  126.1  123.3  134.2  131.3  120.6  105.7  44.3  96.9  11243 1461.695
1228369157 2018-12-09 05:38:59  24.21  111.5  121.5  125.9  123.4  133.7  130.9  120.4  105.6  44.0  96.5  11245 1461.736
1228372757 2018-12-09 06:38:59  24.25  110.9  121.0  125.7  123.4  133.2  130.5  120.2  105.6  43.6  96.1  11247 1461.778
1228376357 2018-12-09 07:38:59  24.29  110.3  120.5  125.4  123.5  132.7  130.1  119.9  105.5  43.2  95.7  11249 1461.820
1228379957 2018-12-09 08:38:59  24.33  109.7  120.0  125.2  123.6  132.3  129.7  119.7  105.4  42.8  95.2  11251 1461.861
1228383557 2018-12-09 09:38:59  24.37  109.0  119.5  124.9  123.6  131.8  129.3  119.5  105.3  42.4  94.8  11253 1461.903
1228387157 2018-12-09 10:38:59  24.42  108.4  118.9  124.6  123.7  131.3  128.9  119.2  105.3  42.0  94.4  11255 1461.945
1228390757 2018-12-09 11:38:59  24.46  107.7  118.4  124.4  123.8  130.8  128.5  119.0  105.2  41.6  94.0  11257 1461.986
1228394357 2018-12-09 12:38:59  24.50  107.1  117.9  124.1  123.8  130.3  128.1  118.7  105.1  41.2  93.5  11259 1462.028
1228397957 2018-12-09 13:38:59  24.54  106.4  117.3  123.8  123.8  129.8  127.7  118.5  105.0  40.8  93.1  11261 1462.070
1228401557 2018-12-09 14:38:59  24.58  105.7  116.7  123.5  123.9  129.3  127.3  118.2  104.9  40.4  92.6  11263 1462.111
1228405157 2018-12-09 15:38:59  24.62  105.0  116.1  123.1  123.9  128.8  126.8  117.9  104.8  40.0  92.2  11265 1462.153
1228408757 2018-12-09 16:38:59  24.67  104.2  115.5  122.8  123.9  128.3  126.4  117.7  104.7  39.6  91.7  11267 1462.195
1228412357 2018-12-09 17:38:59  24.71  103.5  114.9  122.4  124.0  127.8  126.0  117.4  104.6  39.1  91.2  11269 1462.236
1228415957 2018-12-09 18:38:59  24.75  102.7  114.3  122.1  124.0  127.3  125.5  117.1  104.5  38.7  90.7  11271 1462.278
1228419557 2018-12-09 19:38:59  24.79  102.0  113.6  121.7  124.0  126.8  125.1  116.8  104.4  38.2  90.2  11273 1462.320
1228423157 2018-12-09 20:38:59  24.83  101.2  113.0  121.3  124.0  126.3  124.6  116.5  104.3  37.8  89.7  11275 1462.361
1228426757 2018-12-09 21:38:59  24.87  100.3  112.3  120.9  124.0  125.8  124.2  116.2  104.2  37.3  89.2  11277 1462.403
1228430357 2018-12-09 22:38:59  24.92   99.5  111.6  120.5  124.0  125.3  123.7  115.9  104.1  36.9  88.7  11279 1462.445
1228433957 2018-12-09 23:38:59  24.96   98.6  110.9  120.0  123.9  124.7  123.2  115.6  103.9  36.4  88.1  11281 1462.486
1228437557 2018-12-10 00:38:59  25.00   97.8  110.1  119.6  123.9  124.2  122.8  115.3  103.8  35.9  87.6  11283 1462.528
1228441157 2018-12-10 01:38:59  25.04   96.8  109.4  119.1  123.9  123.7  122.3  114.9  103.7  35.4  87.0  11285 1462.570
1228444757 2018-12-10 02:38:59  25.08   95.9  108.6  118.6  123.8  123.1  121.8  114.6  103.5  34.9  86.5  11287 1462.611
1228448357 2018-12-10 03:38:59  25.12   95.0  107.8  118.1  123.7  122.6  121.3  114.3  103.3  34.4  85.9  11289 1462.653
1228451957 2018-12-10 04:38:59  25.17   94.0  106.9  117.5  123.6  122.1  120.8  113.9  103.2  33.9  85.3  11291 1462.695
1228455557 2018-12-10 05:38:59  25.21   92.9  106.0  117.0  123.5  121.5  120.3  113.5  103.0  33.4  84.7  11293 1462.736
1228459157 2018-12-10 06:38:59  25.25   91.9  105.2  116.4  123.4  121.0  119.8  113.2  102.8  32.9  84.1  11295 1462.778
1228462757 2018-12-10 07:38:59  25.29   90.8  104.2  115.8  123.3  120.4  119.3  112.8  102.7  32.4  83.5  11297 1462.820
1228466357 2018-12-10 08:38:59  25.33   89.7  103.3  115.1  123.1  119.8  118.8  112.4  102.5  31.9  82.9  11299 1462.861
1228469957 2018-12-10 09:38:59  25.37   88.5  102.3  114.5  122.9  119.3  118.2  112.0  102.3  31.4  82.3  11301 1462.903
1228473557 2018-12-10 10:38:59  25.42   87.4  101.3  113.8  122.7  118.7  117.7  111.6  102.0  30.8  81.6  11303 1462.945
1228477157 2018-12-10 11:38:59  25.46   86.1  100.2  113.0  122.5  118.2  117.2  111.2  101.8  30.3  81.0  11305 1462.986
