# Quat (xyzw) is -0.408387784782 -0.886471585572 -0.0651625432427 -0.207705050907
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1217260877 2018-08-02 16:00:59   8.46   47.4   70.4   93.7  117.0   39.9   60.0   81.6  103.4  59.7  93.8   5074 1333.168
1217264477 2018-08-02 17:00:59   8.50   47.4   70.5   93.8  117.1   40.3   60.3   81.7  103.5  59.6  93.6   5076 1333.210
1217268077 2018-08-02 18:00:59   8.54   47.4   70.5   93.9  117.3   40.7   60.5   81.9  103.6  59.5  93.4   5078 1333.252
1217271677 2018-08-02 19:00:59   8.58   47.4   70.6   94.0  117.4   41.0   60.8   82.1  103.6  59.4  93.2   5080 1333.293
1217275277 2018-08-02 20:00:59   8.62   47.4   70.7   94.1  117.5   41.4   61.0   82.2  103.7  59.3  93.0   5082 1333.335
1217278877 2018-08-02 21:00:59   8.67   47.4   70.7   94.2  117.6   41.8   61.3   82.4  103.8  59.2  92.8   5084 1333.377
1217282477 2018-08-02 22:00:59   8.71   47.4   70.8   94.3  117.8   42.2   61.5   82.5  103.8  59.1  92.6   5086 1333.418
1217286077 2018-08-02 23:00:59   8.75   47.4   70.8   94.4  117.9   42.6   61.8   82.7  103.9  59.0  92.4   5088 1333.460
1217289677 2018-08-03 00:00:59   8.79   47.5   70.9   94.5  118.0   43.0   62.1   82.8  104.0  58.9  92.2   5090 1333.502
1217293277 2018-08-03 01:00:59   8.83   47.5   71.0   94.6  118.1   43.4   62.3   83.0  104.0  58.7  92.0   5092 1333.543
1217296877 2018-08-03 02:00:59   8.87   47.5   71.0   94.6  118.3   43.8   62.6   83.2  104.1  58.6  91.8   5094 1333.585
1217300477 2018-08-03 03:00:59   8.92   47.5   71.1   94.7  118.4   44.2   62.9   83.3  104.1  58.5  91.6   5096 1333.627
1217304077 2018-08-03 04:00:59   8.96   47.6   71.1   94.8  118.5   44.6   63.1   83.5  104.2  58.4  91.4   5098 1333.668
1217307677 2018-08-03 05:00:59   9.00   47.6   71.2   94.9  118.6   45.0   63.4   83.7  104.2  58.3  91.2   5100 1333.710
1217311277 2018-08-03 06:00:59   9.04   47.6   71.3   95.0  118.7   45.4   63.7   83.8  104.3  58.1  91.0   5102 1333.752
1217314877 2018-08-03 07:00:59   9.08   47.7   71.3   95.1  118.9   45.8   64.0   84.0  104.4  58.0  90.8   5104 1333.793
1217318477 2018-08-03 08:00:59   9.12   47.7   71.4   95.2  119.0   46.3   64.3   84.2  104.4  57.9  90.6   5106 1333.835
1217322077 2018-08-03 09:00:59   9.17   47.7   71.5   95.3  119.1   46.7   64.6   84.4  104.5  57.7  90.4   5108 1333.877
1217325677 2018-08-03 10:00:59   9.21   47.8   71.6   95.4  119.2   47.1   64.9   84.5  104.5  57.6  90.2   5110 1333.918
1217329277 2018-08-03 11:00:59   9.25   47.8   71.6   95.5  119.3   47.6   65.2   84.7  104.6  57.4  90.0   5112 1333.960
1217332877 2018-08-03 12:00:59   9.29   47.9   71.7   95.6  119.4   48.0   65.5   84.9  104.6  57.3  89.8   5114 1334.002
1217336477 2018-08-03 13:00:59   9.33   47.9   71.8   95.7  119.5   48.4   65.8   85.1  104.6  57.1  89.5   5116 1334.043
1217340077 2018-08-03 14:00:59   9.37   48.0   71.9   95.8  119.6   48.9   66.1   85.2  104.7  57.0  89.3   5118 1334.085
1217343677 2018-08-03 15:00:59   9.42   48.1   71.9   95.8  119.8   49.3   66.4   85.4  104.7  56.8  89.1   5120 1334.127
1217347277 2018-08-03 16:00:59   9.46   48.1   72.0   95.9  119.9   49.8   66.7   85.6  104.8  56.6  88.9   5122 1334.168
1217350877 2018-08-03 17:00:59   9.50   48.2   72.1   96.0  120.0   50.3   67.0   85.8  104.8  56.5  88.7   5124 1334.210
1217354477 2018-08-03 18:00:59   9.54   48.2   72.2   96.1  120.1   50.7   67.3   86.0  104.8  56.3  88.5   5126 1334.252
1217358077 2018-08-03 19:00:59   9.58   48.3   72.3   96.2  120.2   51.2   67.7   86.1  104.9  56.1  88.3   5128 1334.293
1217361677 2018-08-03 20:00:59   9.62   48.4   72.3   96.3  120.3   51.7   68.0   86.3  104.9  56.0  88.1   5130 1334.335
1217365277 2018-08-03 21:00:59   9.67   48.5   72.4   96.4  120.4   52.1   68.3   86.5  105.0  55.8  87.9   5132 1334.377
1217368877 2018-08-03 22:00:59   9.71   48.5   72.5   96.5  120.5   52.6   68.7   86.7  105.0  55.6  87.7   5134 1334.418
1217372477 2018-08-03 23:00:59   9.75   48.6   72.6   96.6  120.6   53.1   69.0   86.9  105.0  55.4  87.5   5136 1334.460
1217376077 2018-08-04 00:00:59   9.79   48.7   72.7   96.7  120.7   53.6   69.3   87.1  105.0  55.2  87.3   5138 1334.502
1217379677 2018-08-04 01:00:59   9.83   48.8   72.8   96.8  120.8   54.1   69.7   87.3  105.1  55.1  87.1   5140 1334.543
1217383277 2018-08-04 02:00:59   9.87   48.9   72.9   96.9  120.9   54.6   70.0   87.4  105.1  54.9  86.9   5142 1334.585
1217386877 2018-08-04 03:00:59   9.92   49.0   73.0   97.0  121.0   55.1   70.4   87.6  105.1  54.7  86.7   5144 1334.627
1217390477 2018-08-04 04:00:59   9.96   49.1   73.1   97.1  121.1   55.6   70.7   87.8  105.1  54.5  86.5   5146 1334.668
1217394077 2018-08-04 05:00:59  10.00   49.2   73.2   97.2  121.2   56.1   71.1   88.0  105.1  54.3  86.3   5148 1334.710
1217397677 2018-08-04 06:00:59  10.04   49.3   73.3   97.3  121.3   56.6   71.4   88.2  105.2  54.1  86.0   5150 1334.752
1217401277 2018-08-04 07:00:59  10.08   49.4   73.4   97.4  121.4   57.1   71.8   88.4  105.2  53.8  85.8   5152 1334.793
1217404877 2018-08-04 08:00:59  10.12   49.5   73.5   97.5  121.4   57.6   72.2   88.6  105.2  53.6  85.6   5154 1334.835
1217408477 2018-08-04 09:00:59  10.17   49.6   73.6   97.6  121.5   58.2   72.5   88.8  105.2  53.4  85.4   5156 1334.877
1217412077 2018-08-04 10:00:59  10.21   49.8   73.7   97.7  121.6   58.7   72.9   89.0  105.2  53.2  85.2   5158 1334.918
1217415677 2018-08-04 11:00:59  10.25   49.9   73.8   97.8  121.7   59.2   73.3   89.2  105.2  53.0  85.0   5160 1334.960
1217419277 2018-08-04 12:00:59  10.29   50.0   73.9   97.9  121.8   59.8   73.7   89.4  105.2  52.7  84.8   5162 1335.002
1217422877 2018-08-04 13:00:59  10.33   50.1   74.0   98.0  121.9   60.3   74.0   89.6  105.2  52.5  84.6   5164 1335.043
1217426477 2018-08-04 14:00:59  10.37   50.3   74.2   98.1  121.9   60.8   74.4   89.8  105.2  52.3  84.4   5166 1335.085
1217430077 2018-08-04 15:00:59  10.42   50.4   74.3   98.2  122.0   61.4   74.8   90.0  105.2  52.0  84.3   5168 1335.127
1217433677 2018-08-04 16:00:59  10.46   50.6   74.4   98.3  122.1   61.9   75.2   90.2  105.2  51.8  84.1   5170 1335.168
1217437277 2018-08-04 17:00:59  10.50   50.7   74.5   98.4  122.2   62.5   75.6   90.4  105.2  51.6  83.9   5172 1335.210
1217440877 2018-08-04 18:00:59  10.54   50.9   74.6   98.5  122.2   63.1   76.0   90.6  105.2  51.3  83.7   5174 1335.252
1217444477 2018-08-04 19:00:59  10.58   51.0   74.8   98.6  122.3   63.6   76.4   90.8  105.2  51.1  83.5   5176 1335.293
1217448077 2018-08-04 20:00:59  10.62   51.2   74.9   98.7  122.4   64.2   76.8   91.0  105.1  50.8  83.3   5178 1335.335
1217451677 2018-08-04 21:00:59  10.67   51.4   75.0   98.8  122.4   64.8   77.2   91.2  105.1  50.5  83.1   5180 1335.377
1217455277 2018-08-04 22:00:59  10.71   51.6   75.2   98.9  122.5   65.3   77.6   91.4  105.1  50.3  82.9   5182 1335.418
1217458877 2018-08-04 23:00:59  10.75   51.7   75.3   99.0  122.6   65.9   78.0   91.6  105.1  50.0  82.7   5184 1335.460
1217462477 2018-08-05 00:00:59  10.79   51.9   75.4   99.1  122.6   66.5   78.4   91.8  105.0  49.8  82.5   5186 1335.502
1217466077 2018-08-05 01:00:59  10.83   52.1   75.6   99.2  122.7   67.1   78.8   92.0  105.0  49.5  82.4   5188 1335.543
1217469677 2018-08-05 02:00:59  10.87   52.3   75.7   99.3  122.7   67.7   79.3   92.3  105.0  49.2  82.2   5190 1335.585
1217473277 2018-08-05 03:00:59  10.92   52.5   75.9   99.4  122.8   68.3   79.7   92.5  104.9  48.9  82.0   5192 1335.627
1217476877 2018-08-05 04:00:59  10.96   52.7   76.0   99.5  122.8   68.9   80.1   92.7  104.9  48.6  81.8   5194 1335.668
1217480477 2018-08-05 05:00:59  11.00   53.0   76.2   99.6  122.9   69.5   80.6   92.9  104.8  48.4  81.7   5196 1335.710
1217484077 2018-08-05 06:00:59  11.04   53.2   76.3   99.7  122.9   70.1   81.0   93.1  104.8  48.1  81.5   5198 1335.752
1217487677 2018-08-05 07:00:59  11.08   53.4   76.5   99.8  122.9   70.7   81.4   93.3  104.7  47.8  81.3   5200 1335.793
1217491277 2018-08-05 08:00:59  11.12   53.6   76.7   99.9  123.0   71.4   81.9   93.5  104.7  47.5  81.1   5202 1335.835
1217494877 2018-08-05 09:00:59  11.17   53.9   76.8  100.0  123.0   72.0   82.3   93.7  104.6  47.2  81.0   5204 1335.877
1217498477 2018-08-05 10:00:59  11.21   54.1   77.0  100.1  123.0   72.6   82.8   93.9  104.5  46.9  80.8   5206 1335.918
1217502077 2018-08-05 11:00:59  11.25   54.4   77.2  100.2  123.0   73.2   83.2   94.1  104.5  46.6  80.6   5208 1335.960
1217505677 2018-08-05 12:00:59  11.29   54.6   77.4  100.3  123.1   73.9   83.7   94.3  104.4  46.2  80.5   5210 1336.002
1217509277 2018-08-05 13:00:59  11.33   54.9   77.5  100.4  123.1   74.5   84.1   94.5  104.3  45.9  80.3   5212 1336.043
1217512877 2018-08-05 14:00:59  11.37   55.2   77.7  100.5  123.1   75.2   84.6   94.7  104.2  45.6  80.2   5214 1336.085
1217516477 2018-08-05 15:00:59  11.42   55.5   77.9  100.6  123.1   75.8   85.0   95.0  104.1  45.3  80.0   5216 1336.127
1217520077 2018-08-05 16:00:59  11.46   55.8   78.1  100.7  123.1   76.5   85.5   95.2  104.1  45.0  79.9   5218 1336.168
1217523677 2018-08-05 17:00:59  11.50   56.1   78.3  100.8  123.1   77.2   86.0   95.4  104.0  44.6  79.7   5220 1336.210
1217527277 2018-08-05 18:00:59  11.54   56.4   78.5  100.9  123.1   77.8   86.4   95.6  103.9  44.3  79.6   5222 1336.252
1217530877 2018-08-05 19:00:59  11.58   56.7   78.7  101.0  123.1   78.5   86.9   95.8  103.8  43.9  79.4   5224 1336.293
1217534477 2018-08-05 20:00:59  11.62   57.0   78.9  101.1  123.0   79.2   87.4   96.0  103.6  43.6  79.3   5226 1336.335
1217538077 2018-08-05 21:00:59  11.67   57.4   79.2  101.3  123.0   79.9   87.8   96.2  103.5  43.3  79.2   5228 1336.377
1217541677 2018-08-05 22:00:59  11.71   57.7   79.4  101.4  123.0   80.5   88.3   96.4  103.4  42.9  79.0   5230 1336.418
1217545277 2018-08-05 23:00:59  11.75   58.1   79.6  101.5  122.9   81.2   88.8   96.6  103.3  42.6  78.9   5232 1336.460
1217548877 2018-08-06 00:00:59  11.79   58.5   79.8  101.6  122.9   81.9   89.3   96.8  103.2  42.2  78.8   5234 1336.502
1217552477 2018-08-06 01:00:59  11.83   58.8   80.1  101.7  122.8   82.6   89.8   97.0  103.0  41.8  78.6   5236 1336.543
1217556077 2018-08-06 02:00:59  11.87   59.2   80.3  101.8  122.8   83.3   90.3   97.2  102.9  41.5  78.5   5238 1336.585
1217559677 2018-08-06 03:00:59  11.92   59.6   80.6  101.9  122.7   84.0   90.8   97.4  102.8  41.1  78.4   5240 1336.627
1217563277 2018-08-06 04:00:59  11.96   60.1   80.8  102.0  122.6   84.8   91.3   97.6  102.6  40.7  78.3   5242 1336.668
1217566877 2018-08-06 05:00:59  12.00   60.5   81.1  102.1  122.5   85.5   91.8   97.7  102.4  40.3  78.2   5244 1336.710
1217570477 2018-08-06 06:00:59  12.04   60.9   81.4  102.2  122.4   86.2   92.3   97.9  102.3  40.0  78.1   5246 1336.752
1217574077 2018-08-06 07:00:59  12.08   61.4   81.6  102.3  122.3   86.9   92.8   98.1  102.1  39.6  77.9   5248 1336.793
1217577677 2018-08-06 08:00:59  12.12   61.9   81.9  102.4  122.2   87.7   93.3   98.3  102.0  39.2  77.8   5250 1336.835
1217581277 2018-08-06 09:00:59  12.17   62.3   82.2  102.5  122.1   88.4   93.8   98.5  101.8  38.8  77.7   5252 1336.877
1217584877 2018-08-06 10:00:59  12.21   62.8   82.5  102.6  121.9   89.2   94.3   98.7  101.6  38.4  77.6   5254 1336.918
1217588477 2018-08-06 11:00:59  12.25   63.3   82.8  102.7  121.8   89.9   94.8   98.9  101.4  38.0  77.6   5256 1336.960
1217592077 2018-08-06 12:00:59  12.29   63.9   83.1  102.8  121.6   90.7   95.3   99.0  101.2  37.6  77.5   5258 1337.002
1217595677 2018-08-06 13:00:59  12.33   64.4   83.4  102.9  121.5   91.4   95.8   99.2  101.0  37.2  77.4   5260 1337.043
1217599277 2018-08-06 14:00:59  12.37   65.0   83.8  103.0  121.3   92.2   96.3   99.4  100.8  36.8  77.3   5262 1337.085
1217602877 2018-08-06 15:00:59  12.42   65.6   84.1  103.1  121.1   93.0   96.8   99.5  100.6  36.4  77.2   5264 1337.127
1217606477 2018-08-06 16:00:59  12.46   66.2   84.5  103.2  120.8   93.7   97.4   99.7  100.4  35.9  77.1   5266 1337.168
1217610077 2018-08-06 17:00:59  12.50   66.8   84.8  103.3  120.6   94.5   97.9   99.9  100.2  35.5  77.1   5268 1337.210
1217613677 2018-08-06 18:00:59  12.54   67.4   85.2  103.3  120.4   95.3   98.4  100.0   99.9  35.1  77.0   5270 1337.252
1217617277 2018-08-06 19:00:59  12.58   68.1   85.6  103.4  120.1   96.1   98.9  100.2   99.7  34.7  76.9   5272 1337.293
1217620877 2018-08-06 20:00:59  12.62   68.8   86.0  103.5  119.8   96.9   99.4  100.3   99.4  34.2  76.9   5274 1337.335
1217624477 2018-08-06 21:00:59  12.67   69.5   86.4  103.6  119.5   97.7  100.0  100.5   99.2  33.8  76.8   5276 1337.377
1217628077 2018-08-06 22:00:59  12.71   70.2   86.8  103.7  119.2   98.5  100.5  100.6   98.9  33.3  76.8   5278 1337.418
1217631677 2018-08-06 23:00:59  12.75   71.0   87.2  103.7  118.8   99.3  101.0  100.8   98.7  32.9  76.7   5280 1337.460
1217635277 2018-08-07 00:00:59  12.79   71.8   87.7  103.8  118.4  100.1  101.5  100.9   98.4  32.4  76.7   5282 1337.502
1217638877 2018-08-07 01:00:59  12.83   72.6   88.1  103.8  118.0  100.9  102.1  101.1   98.1  32.0  76.6   5284 1337.543
1217642477 2018-08-07 02:00:59  12.87   73.4   88.6  103.9  117.6  101.8  102.6  101.2   97.8  31.5  76.6   5286 1337.585
1217646077 2018-08-07 03:00:59  12.92   74.3   89.1  103.9  117.2  102.6  103.1  101.3   97.5  31.1  76.6   5288 1337.627
1217649677 2018-08-07 04:00:59  12.96   75.2   89.6  104.0  116.7  103.4  103.6  101.4   97.3  30.6  76.5   5290 1337.668
1217653277 2018-08-07 05:00:59  13.00   76.1   90.1  104.0  116.2  104.3  104.2  101.5   96.9  30.2  76.5   5292 1337.710
1217656877 2018-08-07 06:00:59  13.04   77.1   90.6  104.0  115.6  105.1  104.7  101.6   96.6  29.7  76.5   5294 1337.752
1217660477 2018-08-07 07:00:59  13.08   78.1   91.2  104.1  115.1  106.0  105.2  101.8   96.3  29.2  76.4   5296 1337.793
1217664077 2018-08-07 08:00:59  13.12   79.2   91.7  104.1  114.4  106.9  105.7  101.9   96.0  28.8  76.4   5298 1337.835
1217667677 2018-08-07 09:00:59  13.17   80.2   92.3  104.0  113.8  107.7  106.3  101.9   95.6  28.3  76.4   5300 1337.877
1217671277 2018-08-07 10:00:59  13.21   81.4   92.9  104.0  113.1  108.6  106.8  102.0   95.3  27.9  76.4   5302 1337.918
1217674877 2018-08-07 11:00:59  13.25   82.5   93.5  104.0  112.4  109.5  107.3  102.1   95.0  27.4  76.4   5304 1337.960
1217678477 2018-08-07 12:00:59  13.29   83.7   94.1  103.9  111.6  110.3  107.8  102.2   94.6  26.9  76.3   5306 1338.002
1217682077 2018-08-07 13:00:59  13.33   85.0   94.8  103.9  110.8  111.2  108.3  102.3   94.2  26.5  76.3   5308 1338.043
1217685677 2018-08-07 14:00:59  13.37   86.3   95.5  103.8  109.9  112.1  108.8  102.3   93.9  26.0  76.3   5310 1338.085
1217689277 2018-08-07 15:00:59  13.42   87.7   96.2  103.7  109.0  113.0  109.4  102.4   93.5  25.5  76.3   5312 1338.127
1217692877 2018-08-07 16:00:59  13.46   89.1   96.9  103.6  108.0  113.9  109.9  102.4   93.1  25.1  76.3   5314 1338.168
1217696477 2018-08-07 17:00:59  13.50   90.5   97.6  103.4  107.0  114.8  110.4  102.5   92.7  24.6  76.3   5316 1338.210
1217700077 2018-08-07 18:00:59  13.54   92.0   98.3  103.2  105.9  115.7  110.9  102.5   92.3  24.2  76.2   5318 1338.252
1217703677 2018-08-07 19:00:59  13.58   93.6   99.1  103.0  104.7  116.6  111.4  102.6   91.9  23.7  76.2   5320 1338.293
1217707277 2018-08-07 20:00:59  13.62   95.3   99.9  102.8  103.5  117.6  111.9  102.6   91.5  23.3  76.2   5322 1338.335
1217710877 2018-08-07 21:00:59  13.67   96.9  100.6  102.5  102.2  118.5  112.4  102.6   91.1  22.8  76.2   5324 1338.377
1217714477 2018-08-07 22:00:59  13.71   98.7  101.4  102.2  100.8  119.4  112.9  102.6   90.6  22.4  76.1   5326 1338.418
1217718077 2018-08-07 23:00:59  13.75  100.5  102.2  101.9   99.4  120.3  113.3  102.6   90.2  22.0  76.1   5328 1338.460
1217721677 2018-08-08 00:00:59  13.79  102.3  103.1  101.5   97.9  121.3  113.8  102.6   89.8  21.6  76.0   5330 1338.502
1217725277 2018-08-08 01:00:59  13.83  104.2  103.9  101.1   96.4  122.2  114.3  102.6   89.3  21.2  76.0   5332 1338.543
1217728877 2018-08-08 02:00:59  13.87  106.2  104.7  100.6   94.7  123.2  114.8  102.6   88.9  20.8  75.9   5334 1338.585
1217732477 2018-08-08 03:00:59  13.92  108.2  105.5  100.1   93.0  124.1  115.2  102.6   88.4  20.4  75.8   5336 1338.627
1217736077 2018-08-08 04:00:59  13.96  110.2  106.2   99.5   91.2  125.0  115.7  102.6   88.0  20.1  75.7   5338 1338.668
1217739677 2018-08-08 05:00:59  14.00  112.3  107.0   98.8   89.4  126.0  116.2  102.6   87.5  19.7  75.6   5340 1338.710
1217743277 2018-08-08 06:00:59  14.04  114.4  107.7   98.2   87.5  126.9  116.6  102.5   87.1  19.4  75.5   5342 1338.752
1217746877 2018-08-08 07:00:59  14.08  116.5  108.3   97.4   85.5  127.9  117.0  102.5   86.6  19.1  75.4   5344 1338.793
1217750477 2018-08-08 08:00:59  14.12  118.5  109.0   96.7   83.5  128.8  117.5  102.5   86.2  18.8  75.2   5346 1338.835
1217754077 2018-08-08 09:00:59  14.17  120.5  109.5   95.8   81.5  129.8  117.9  102.4   85.7  18.6  75.1   5348 1338.877
1217757677 2018-08-08 10:00:59  14.21  122.5  110.0   94.9   79.4  130.7  118.3  102.4   85.3  18.4  74.9   5350 1338.918
1217761277 2018-08-08 11:00:59  14.25  124.4  110.3   94.0   77.3  131.6  118.7  102.3   84.8  18.2  74.7   5352 1338.960
1217764877 2018-08-08 12:00:59  14.29  126.1  110.6   93.1   75.3  132.6  119.1  102.3   84.4  18.0  74.4   5354 1339.002
1217768477 2018-08-08 13:00:59  14.33  127.7  110.8   92.1   73.2  133.5  119.5  102.2   84.0  17.9  74.2   5356 1339.043
1217772077 2018-08-08 14:00:59  14.37  129.1  110.8   91.1   71.3  134.4  119.9  102.2   83.5  17.8  73.9   5358 1339.085
1217775677 2018-08-08 15:00:59  14.42  130.3  110.8   90.0   69.3  135.3  120.3  102.1   83.1  17.8  73.6   5360 1339.127
1217779277 2018-08-08 16:00:59  14.46  131.2  110.6   89.0   67.5  136.2  120.6  102.1   82.7  17.7  73.3   5362 1339.168
1217782877 2018-08-08 17:00:59  14.50  131.9  110.3   88.0   65.8  137.1  121.0  102.1   82.3  17.8  73.0   5364 1339.210
1217786477 2018-08-08 18:00:59  14.54  132.3  109.9   87.0   64.2  137.9  121.3  102.0   82.0  17.8  72.6   5366 1339.252
1217790077 2018-08-08 19:00:59  14.58  132.5  109.3   86.0   62.7  138.8  121.7  102.0   81.6  17.9  72.2   5368 1339.293
1217793677 2018-08-08 20:00:59  14.62  132.3  108.7   85.0   61.4  139.6  122.0  101.9   81.3  18.0  71.8   5370 1339.335
1217797277 2018-08-08 21:00:59  14.67  131.9  108.0   84.1   60.2  140.4  122.3  101.9   80.9  18.1  71.4   5372 1339.377
1217800877 2018-08-08 22:00:59  14.71  131.2  107.2   83.2   59.3  141.2  122.6  101.9   80.6  18.3  71.0   5374 1339.418
1217804477 2018-08-08 23:00:59  14.75  130.4  106.4   82.4   58.4  142.0  123.0  101.9   80.4  18.5  70.6   5376 1339.460
1217808077 2018-08-09 00:00:59  14.79  129.3  105.5   81.6   57.8  142.7  123.2  101.9   80.1  18.8  70.1   5378 1339.502
1217811677 2018-08-09 01:00:59  14.83  128.1  104.5   80.9   57.4  143.5  123.5  101.9   79.8  19.0  69.7   5380 1339.543
1217815277 2018-08-09 02:00:59  14.87  126.7  103.6   80.3   57.1  144.1  123.8  101.9   79.6  19.3  69.2   5382 1339.585
1217818877 2018-08-09 03:00:59  14.92  125.3  102.6   79.7   56.9  144.8  124.1  101.9   79.4  19.6  68.8   5384 1339.627
1217822477 2018-08-09 04:00:59  14.96  123.7  101.6   79.1   56.9  145.5  124.3  101.9   79.2  19.9  68.3   5386 1339.668
1217826077 2018-08-09 05:00:59  15.00  122.2  100.6   78.6   57.0  146.1  124.6  101.9   79.1  20.3  67.9   5388 1339.710
1217829677 2018-08-09 06:00:59  15.04  120.6   99.6   78.2   57.3  146.7  124.8  102.0   78.9  20.6  67.4   5390 1339.752
1217833277 2018-08-09 07:00:59  15.08  118.9   98.6   77.8   57.6  147.2  125.0  102.0   78.8  21.0  66.9   5392 1339.793
1217836877 2018-08-09 08:00:59  15.12  117.3   97.6   77.4   58.0  147.7  125.2  102.1   78.7  21.4  66.5   5394 1339.835
1217840477 2018-08-09 09:00:59  15.17  115.7   96.6   77.1   58.5  148.2  125.4  102.1   78.6  21.8  66.0   5396 1339.877
1217844077 2018-08-09 10:00:59  15.21  114.1   95.7   76.9   59.1  148.6  125.6  102.2   78.6  22.2  65.6   5398 1339.918
1217847677 2018-08-09 11:00:59  15.25  112.5   94.8   76.7   59.7  149.1  125.8  102.2   78.6  22.7  65.2   5400 1339.960
1217851277 2018-08-09 12:00:59  15.29  111.0   93.9   76.5   60.3  149.4  126.0  102.3   78.5  23.1  64.8   5402 1340.002
1217854877 2018-08-09 13:00:59  15.33  109.5   93.0   76.3   61.0  149.8  126.2  102.4   78.5  23.5  64.3   5404 1340.043
1217858477 2018-08-09 14:00:59  15.37  108.0   92.2   76.2   61.7  150.0  126.3  102.4   78.5  24.0  63.9   5406 1340.085
1217862077 2018-08-09 15:00:59  15.42  106.5   91.4   76.1   62.4  150.3  126.4  102.5   78.6  24.4  63.6   5408 1340.127
1217865677 2018-08-09 16:00:59  15.46  105.1   90.6   76.1   63.2  150.5  126.6  102.6   78.6  24.9  63.2   5410 1340.168
1217869277 2018-08-09 17:00:59  15.50  103.7   89.9   76.0   63.9  150.7  126.7  102.7   78.7  25.4  62.8   5412 1340.210
1217872877 2018-08-09 18:00:59  15.54  102.4   89.1   76.0   64.7  150.8  126.8  102.8   78.8  25.8  62.5   5414 1340.252
1217876477 2018-08-09 19:00:59  15.58  101.1   88.4   76.0   65.4  150.9  126.9  102.9   78.9  26.3  62.1   5416 1340.293
1217880077 2018-08-09 20:00:59  15.62   99.9   87.8   76.0   66.2  150.9  126.9  103.0   79.0  26.7  61.8   5418 1340.335
1217883677 2018-08-09 21:00:59  15.67   98.6   87.1   76.0   66.9  150.9  127.0  103.1   79.1  27.2  61.5   5420 1340.377
1217887277 2018-08-09 22:00:59  15.71   97.5   86.5   76.0   67.7  150.8  127.1  103.2   79.3  27.7  61.2   5422 1340.418
1217890877 2018-08-09 23:00:59  15.75   96.3   85.9   76.1   68.4  150.7  127.1  103.3   79.4  28.1  60.9   5424 1340.460
1217894477 2018-08-10 00:00:59  15.79   95.2   85.3   76.1   69.1  150.6  127.1  103.4   79.6  28.6  60.7   5426 1340.502
1217898077 2018-08-10 01:00:59  15.83   94.1   84.8   76.2   69.8  150.4  127.1  103.5   79.8  29.1  60.4   5428 1340.543
1217901677 2018-08-10 02:00:59  15.87   93.1   84.2   76.3   70.6  150.2  127.1  103.6   80.0  29.5  60.2   5430 1340.585
1217905277 2018-08-10 03:00:59  15.92   92.1   83.7   76.4   71.3  149.9  127.1  103.7   80.2  30.0  60.0   5432 1340.627
1217908877 2018-08-10 04:00:59  15.96   91.1   83.2   76.5   71.9  149.6  127.1  103.8   80.4  30.4  59.8   5434 1340.668
1217912477 2018-08-10 05:00:59  16.00   90.1   82.8   76.6   72.6  149.3  127.0  103.9   80.6  30.9  59.6   5436 1340.710
1217916077 2018-08-10 06:00:59  16.04   89.2   82.3   76.7   73.3  148.9  127.0  104.0   80.8  31.4  59.4   5438 1340.752
1217919677 2018-08-10 07:00:59  16.08   88.3   81.9   76.8   73.9  148.5  126.9  104.1   81.1  31.8  59.3   5440 1340.793
1217923277 2018-08-10 08:00:59  16.12   87.4   81.4   76.9   74.6  148.1  126.8  104.2   81.3  32.3  59.1   5442 1340.835
1217926877 2018-08-10 09:00:59  16.17   86.6   81.0   77.0   75.2  147.7  126.7  104.3   81.6  32.7  59.0   5444 1340.877
1217930477 2018-08-10 10:00:59  16.21   85.7   80.6   77.1   75.8  147.2  126.6  104.4   81.9  33.2  58.9   5446 1340.918
1217934077 2018-08-10 11:00:59  16.25   84.9   80.2   77.2   76.4  146.7  126.5  104.5   82.1  33.6  58.8   5448 1340.960
1217937677 2018-08-10 12:00:59  16.29   84.1   79.9   77.3   77.0  146.1  126.3  104.6   82.4  34.0  58.7   5450 1341.002
1217941277 2018-08-10 13:00:59  16.33   83.4   79.5   77.5   77.6  145.6  126.2  104.7   82.7  34.5  58.6   5452 1341.043
1217944877 2018-08-10 14:00:59  16.37   82.6   79.2   77.6   78.2  145.0  126.0  104.8   83.0  34.9  58.6   5454 1341.085
1217948477 2018-08-10 15:00:59  16.42   81.9   78.8   77.7   78.7  144.4  125.8  104.9   83.3  35.3  58.5   5456 1341.127
1217952077 2018-08-10 16:00:59  16.46   81.2   78.5   77.8   79.3  143.8  125.7  105.0   83.6  35.7  58.5   5458 1341.168
1217955677 2018-08-10 17:00:59  16.50   80.5   78.2   78.0   79.8  143.2  125.5  105.0   83.9  36.2  58.5   5460 1341.210
1217959277 2018-08-10 18:00:59  16.54   79.9   77.9   78.1   80.4  142.6  125.3  105.1   84.2  36.6  58.5   5462 1341.252
1217962877 2018-08-10 19:00:59  16.58   79.2   77.6   78.2   80.9  141.9  125.1  105.2   84.5  37.0  58.5   5464 1341.293
1217966477 2018-08-10 20:00:59  16.62   78.6   77.4   78.4   81.4  141.2  124.8  105.3   84.9  37.4  58.5   5466 1341.335
1217970077 2018-08-10 21:00:59  16.67   78.0   77.1   78.5   81.9  140.6  124.6  105.4   85.2  37.8  58.6   5468 1341.377
